pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,league_name,club_name,nationality_name,skill_moves,release_clause_eur,preferred_foot,composite_score,rank_overall,rank_composite
85.0,59.0,60.0,73.0,65.0,68.0,68,64,56,I. Jakobs,Ismail Joshua Jakobs,"LB, LM",72,80,5000000.0,25000.0,22,184,75,Ligue 1,Monaco,Senegal,3,10500000.0,Left,70.02,20,867
72.0,66.0,74.0,73.0,57.0,60.0,66,69,35,H. Sakhi,Hamza Sakhi,"CM, LM, RM",72,75,3000000.0,14000.0,26,176,69,Ligue 1,Auxerre,Morocco,4,6200000.0,Right,70.01999999999998,20,868
85.0,51.0,67.0,71.0,67.0,72.0,70,49,58,F. Ballo-Touré,Fodé Ballo-Touré,LB,72,75,2900000.0,32000.0,25,182,70,Serie A,Milan,Senegal,3,5100000.0,Left,70.01999999999998,20,868
64.0,68.0,71.0,71.0,61.0,78.0,66,66,54,P. Förster,Philipp Förster,"CAM, CF, CM",72,72,2500000.0,18000.0,27,188,82,Bundesliga,VfL Bochum 1848,Germany,3,4500000.0,Left,70.01999999999998,20,868
64.0,61.0,69.0,71.0,67.0,83.0,67,54,59,G. Giménez,Gastón Claudio Giménez,"CDM, CM",73,73,2500000.0,7000.0,30,188,82,Major League Soccer,Chicago Fire,Paraguay,3,3600000.0,Left,70.0,19,869
81.0,70.0,70.0,73.0,38.0,54.0,69,69,61,F. Torres,Facundo Daniel Torres Pérez,"RM, LM",73,81,7000000.0,7000.0,22,178,71,Major League Soccer,Orlando City,Uruguay,3,11600000.0,Left,70.0,19,869
74.0,70.0,71.0,73.0,41.0,63.0,62,74,53,André Franco,André Filipe Russo Franco,"CAM, CM",73,79,4800000.0,10000.0,24,177,70,Liga Portugal,Porto,Portugal,3,10600000.0,Left,70.0,19,869
87.0,63.0,70.0,71.0,49.0,69.0,76,60,43,S. Thomas,Sorba Thomas,"RW, LW, RWB",70,75,2400000.0,11000.0,23,185,75,Championship,Huddersfield Town,Wales,3,4700000.0,Right,70.0,22,869
68.0,61.0,67.0,68.0,72.0,80.0,64,56,63,M. Ilaimaharitra,Marco Ilaimaharitra,"CDM, CM",73,74,3200000.0,12000.0,26,177,80,Jupiler Pro League,Sporting Charleroi,Madagascar,3,5000000.0,Right,69.99999999999999,19,870
64.0,77.0,68.0,73.0,42.0,67.0,68,76,76,J. Rodriguez,Jay Rodriguez,"ST, LM",74,74,3400000.0,40000.0,32,185,84,Championship,Burnley,England,3,6500000.0,Right,69.98,18,871
66.0,60.0,69.0,70.0,72.0,71.0,69,52,66,A. Smith,Adam Smith,"RB, RWB, LB",74,74,3100000.0,36000.0,31,180,78,Premier League,AFC Bournemouth,England,3,6200000.0,Right,69.98,18,871
74.0,72.0,67.0,77.0,32.0,61.0,63,74,75,A. Sanabria,Arnaldo Antonio Sanabria Ayala,ST,74,77,5500000.0,38000.0,26,181,73,Serie A,Torino,Paraguay,4,10300000.0,Right,69.98,18,871
84.0,64.0,73.0,73.0,39.0,46.0,74,65,43,Salvi Sánchez,Salvador Sánchez Ponce,"RM, LM",74,74,3500000.0,18000.0,31,175,64,La Liga,Rayo Vallecano,Spain,3,7400000.0,Right,69.98,18,871
53.0,70.0,71.0,71.0,72.0,71.0,64,68,64,D. Brašanac,Darko Brašanac,"CM, CDM, CAM",74,74,4000000.0,23000.0,30,178,73,La Liga,Osasuna,Serbia,3,8400000.0,Right,69.98,18,871
77.0,61.0,71.0,72.0,63.0,68.0,67,58,59,N. Haas,Nicolas Thibault Haas,CM,71,74,2400000.0,8000.0,26,181,74,Serie A,Empoli,Switzerland,3,4500000.0,Right,69.98,21,871
74.0,66.0,70.0,69.0,65.0,70.0,73,56,48,C. Ganea,Cristian George Ganea,LB,71,71,1600000.0,550.0,30,175,72,Super League,Panathinaikos,Romania,2,3500000.0,Left,69.98,21,871
79.0,65.0,66.0,68.0,63.0,74.0,69,62,55,N. Bancu,Nicușor Silviu Bancu,"LWB, LB, LM",71,71,1600000.0,10000.0,29,178,65,Liga 1,Universitatea Craiova,Romania,3,2200000.0,Left,69.98,21,871
78.0,73.0,69.0,72.0,48.0,61.0,74,74,63,Jon Morcillo,Jon Morcillo Conesa,"LM, LW",71,76,2800000.0,14000.0,23,183,72,La Liga,Athletic Club,Spain,4,6100000.0,Left,69.98,21,871
73.0,62.0,70.0,76.0,65.0,66.0,69,61,55,J. Dudziak,Jeremy Dudziak,"CAM, CM",71,72,2200000.0,8000.0,26,176,70,2. Bundesliga,SpVgg Greuther Fürth,Tunisia,3,3700000.0,Left,69.97999999999999,21,872
89.0,69.0,61.0,71.0,34.0,72.0,65,69,54,L. Júnior,Junior Wakalible Lago,LM,72,72,1900000.0,18000.0,31,180,79,La Liga,Mallorca,Côte d'Ivoire,4,4000000.0,Right,69.96000000000001,20,873
84.0,58.0,63.0,64.0,72.0,76.0,59,59,64,M. Catalán,Matías Ezequiel Catalán,"CB, RB",72,72,2000000.0,11000.0,29,182,78,Liga Profesional,Talleres Córdoba,Argentina,2,3000000.0,Right,69.96000000000001,20,873
66.0,66.0,73.0,71.0,64.0,70.0,71,62,58,T. Valls,Théo Valls,CM,72,73,2700000.0,14000.0,26,178,71,Super League,Servette,France,3,4100000.0,Left,69.96000000000001,20,873
67.0,68.0,69.0,72.0,63.0,71.0,60,66,58,G. Acosta,Guillermo Gastón Acosta,"CM, RM",72,72,1400000.0,10000.0,33,168,64,Liga Profesional,Atlético Tucumán,Argentina,3,2000000.0,Right,69.96000000000001,20,873
86.0,67.0,65.0,72.0,37.0,69.0,67,70,40,O. Solbakken,Ola Selvaag Solbakken,"RW, LW",72,78,3700000.0,36000.0,23,186,79,Serie A,Roma,Norway,3,7000000.0,Left,69.96000000000001,20,873
44.0,70.0,80.0,75.0,61.0,67.0,80,61,67,Miguel Veloso,Miguel Luís Pinto Veloso,CM,75,75,1800000.0,19000.0,36,180,79,Serie A,Hellas Verona,Portugal,4,3200000.0,Left,69.96,17,874
49.0,65.0,72.0,74.0,73.0,73.0,61,61,61,B. Santamaria,Baptiste Santamaría,"CM, CDM",75,76,6500000.0,39000.0,27,183,81,Ligue 1,Rennes,France,3,12800000.0,Right,69.96,17,874
76.0,76.0,61.0,73.0,30.0,64.0,61,78,77,Dênildo Stein,Dênis Rubens Stein Rebelo,"ST, CF",75,75,1900000.0,12000.0,38,180,71,Serie A,Ceará,Brazil,3,3600000.0,Left,69.96,17,874
78.0,60.0,64.0,69.0,69.0,75.0,64,53,73,E. Mas,Emmanuel Más Sgros,"LB, LWB, LM",72,72,1200000.0,9000.0,33,180,81,Liga Profesional,Estudiantes,Argentina,3,1800000.0,Left,69.96,20,874
72.0,60.0,71.0,68.0,71.0,73.0,73,59,71,B. Nieuwkoop,Bart Nieuwkoop,"RM, RWB, RB",72,73,2800000.0,12000.0,26,181,75,Jupiler Pro League,Union Saint-Gilloise,Netherlands,3,4400000.0,Right,69.96,20,874
79.0,60.0,62.0,72.0,66.0,74.0,72,54,43,Marlon,Marlon Rodrigues Xavier,LB,72,76,3000000.0,10000.0,25,173,68,Super Lig,Ankaragücü,Brazil,3,6200000.0,Left,69.96,20,874
71.0,61.0,63.0,68.0,63.0,70.0,19,13,13,F. Forster,Fraser Forster,GK,76,76,1300000.0,52000.0,34,201,93,Premier League,Tottenham Hotspur,England,1,2500000.0,Right,69.94000000000001,16,875
71.0,61.0,63.0,68.0,63.0,70.0,11,14,12,S. Romero,Sergio Germán Romero,GK,76,76,825000.0,8000.0,35,192,86,Liga Profesional,Boca Juniors,Argentina,1,1200000.0,Right,69.94000000000001,16,875
71.0,61.0,63.0,68.0,63.0,70.0,19,11,10,Ł. Skorupski,Łukasz Skorupski,GK,76,76,4000000.0,23000.0,31,187,84,Serie A,Bologna,Poland,1,6800000.0,Right,69.94000000000001,16,875
71.0,61.0,63.0,68.0,63.0,70.0,20,15,16,M. Bizot,Marco Bizot,GK,76,76,4000000.0,17000.0,31,193,88,Ligue 1,Brest,Netherlands,1,8000000.0,Right,69.94000000000001,16,875
71.0,61.0,63.0,68.0,63.0,70.0,13,15,15,C. Tătărușanu,Anton Ciprian Tătărușanu,GK,76,76,825000.0,25000.0,36,198,90,Serie A,Milan,Romania,1,1400000.0,Right,69.94000000000001,16,875
71.0,61.0,63.0,68.0,63.0,70.0,15,16,11,A. Gomis,Alfred Benjamin Gomis,GK,76,78,6500000.0,32000.0,28,196,80,Ligue 1,Rennes,Senegal,1,12800000.0,Right,69.94000000000001,16,875
71.0,61.0,63.0,68.0,63.0,70.0,12,11,11,H. Van Crombrugge,Hendrik Van Crombrugge,GK,76,76,5000000.0,18000.0,29,187,86,Jupiler Pro League,Anderlecht,Belgium,1,7500000.0,Left,69.94000000000001,16,875
71.0,61.0,63.0,68.0,63.0,70.0,23,12,14,P. Gazzaniga,Paulo Dino Gazzaniga,GK,76,76,5000000.0,38000.0,30,196,90,La Liga,Girona,Argentina,1,3200000.0,Right,69.94000000000001,16,875
71.0,61.0,63.0,68.0,63.0,70.0,15,15,24,M. Borjan,Milan Borjan,GK,76,76,1900000.0,7000.0,34,195,84,,,Canada,1,3200000.0,Right,69.94000000000001,16,875
71.0,61.0,63.0,68.0,63.0,70.0,17,19,12,Fernando,Fernando Martínez Rubio,GK,76,76,3700000.0,19000.0,32,185,85,La Liga,Almería,Spain,1,8100000.0,Right,69.94000000000001,16,875
71.0,61.0,63.0,68.0,63.0,70.0,13,10,24,Y. Mvogo,Yvon Landry Mvogo Nganoma,GK,76,79,7000000.0,15000.0,28,189,93,Ligue 1,Lorient,Switzerland,1,14500000.0,Right,69.94000000000001,16,875
71.0,61.0,63.0,68.0,63.0,70.0,20,19,17,S. Kritsyuk,Stanislav Kritsyuk,GK,76,76,4000000.0,9000.0,31,192,85,Liga Portugal,Gil Vicente,Russia,1,8400000.0,Right,69.94000000000001,16,875
71.0,61.0,63.0,68.0,63.0,70.0,11,10,12,Helton Leite,Helton Brant Aleixo Leite,GK,76,76,4000000.0,10000.0,31,196,92,Liga Portugal,Benfica,Brazil,1,8000000.0,Right,69.94000000000001,16,875
71.0,61.0,63.0,68.0,63.0,70.0,15,20,17,L. Montipò,Lorenzo Montipò,GK,76,79,7500000.0,20000.0,26,191,82,Serie A,Hellas Verona,Italy,1,14100000.0,Right,69.94000000000001,16,875
71.0,61.0,63.0,68.0,63.0,70.0,19,12,13,B. Drągowski,Bartłomiej Drągowski,GK,76,79,8000000.0,11000.0,24,191,74,Serie A,Spezia,Poland,1,15000000.0,Right,69.94000000000001,16,875
71.0,61.0,63.0,68.0,63.0,70.0,17,14,18,R. Zentner,Robin Zentner,GK,76,78,7000000.0,20000.0,27,194,96,Bundesliga,FSV Mainz 05,Germany,1,12400000.0,Right,69.94000000000001,16,875
71.0,61.0,63.0,68.0,63.0,70.0,9,7,8,Fred Aníbão,Fred Marcos Aníbal Dias,GK,76,76,5000000.0,12000.0,30,192,90,Serie A,Athletico PR,Brazil,1,9500000.0,Right,69.94000000000001,16,875
71.0,61.0,63.0,68.0,63.0,70.0,33,20,18,Nelsildo Reis,Nelson Arturo Reis Lopes,GK,76,79,8000000.0,9000.0,22,190,88,Serie A,Ceará,Brazil,1,15800000.0,Right,69.94000000000001,16,875
71.0,61.0,63.0,68.0,63.0,70.0,20,11,18,Pierrino Faria,Pierre Tomás Torres De Faria,GK,76,76,825000.0,13000.0,38,190,82,Serie A,Santos,Brazil,1,1600000.0,Right,69.94000000000001,16,875
71.0,61.0,63.0,68.0,63.0,70.0,14,9,13,Z. Steffen,Zack Steffen,GK,76,78,7000000.0,68000.0,27,191,86,Championship,Middlesbrough,United States,1,3200000.0,Right,69.94000000000001,16,875
69.0,54.0,69.0,74.0,70.0,77.0,62,48,65,R. Kouamé,Rominigue Kouamé,"CM, CDM",73,76,4000000.0,15000.0,25,177,68,Ligue 1,Troyes,Mali,3,8300000.0,Left,69.94000000000001,19,875
85.0,55.0,65.0,73.0,64.0,59.0,72,55,49,I. Jones,Isaiah Jones,RWB,73,78,4300000.0,18000.0,23,176,71,Championship,Middlesbrough,England,3,8500000.0,Right,69.94000000000001,19,875
88.0,66.0,64.0,74.0,38.0,57.0,67,70,67,A. Elanga,Anthony David Junior Elanga,"RW, LW, RM",73,82,6500000.0,58000.0,20,178,75,Premier League,Manchester United,Sweden,3,13700000.0,Right,69.94000000000001,19,875
64.0,69.0,74.0,74.0,55.0,62.0,75,71,59,Portillo,Francisco Portillo Soler,"RM, LM, CM",73,73,2400000.0,20000.0,32,169,60,La Liga,Almería,Spain,3,5300000.0,Right,69.94,19,876
81.0,66.0,69.0,75.0,43.0,54.0,72,67,56,S. Gürler,Serdar Gürler,"RM, LM",73,73,2900000.0,28000.0,30,175,65,Super Lig,İstanbul Başakşehir,Turkey,3,5800000.0,Right,69.94,19,876
74.0,71.0,72.0,72.0,34.0,67.0,72,70,69,R. Oudin,Rémi Oudin,"LM, RM",73,74,3600000.0,8000.0,25,186,81,Serie A,Lecce,France,3,3200000.0,Left,69.94,19,876
67.0,65.0,72.0,71.0,61.0,68.0,66,68,53,M. O'Riley,Matthew Sean O'Riley,"CM, CDM",73,82,7000000.0,29000.0,21,187,77,Premiership,Celtic,Denmark,3,14000000.0,Left,69.94,19,876
86.0,61.0,64.0,75.0,66.0,61.0,49,60,51,L. Blessing,Latif Blessing,"CM, RB",70,71,1900000.0,5000.0,25,160,64,Major League Soccer,New England,Ghana,3,3000000.0,Right,69.94,22,876
47.0,72.0,76.0,70.0,72.0,70.0,74,66,73,J. De Sart,Julien Ariel De Sart,"CM, CDM",74,74,4500000.0,20000.0,27,187,72,Jupiler Pro League,Gent,Belgium,3,6800000.0,Right,69.92,18,877
70.0,68.0,74.0,71.0,58.0,68.0,73,62,70,O. El Kaddouri,Omar El Kaddouri,"CM, CAM, LW",71,71,1500000.0,900.0,31,185,74,Super League,PAOK,Morocco,3,3300000.0,Right,69.92,21,877
69.0,68.0,69.0,71.0,64.0,74.0,63,68,61,I. Fossum,Iver Tobias Rørvik Fossum,CM,71,74,2500000.0,10000.0,25,180,73,Superliga,AaB,Norway,3,3300000.0,Right,69.92,21,877
84.0,67.0,66.0,70.0,38.0,80.0,61,66,71,J. Morris,Jordan Morris,"LM, ST, RM",71,71,2000000.0,6000.0,27,183,85,Major League Soccer,Seattle Sounders,United States,2,3000000.0,Right,69.92,21,877
91.0,53.0,59.0,78.0,60.0,70.0,63,58,40,Gerard Valentín,Gerard Valentín Sancho,"RM, RB",71,71,1900000.0,8000.0,28,177,75,La Liga 2,Huesca,Spain,3,3000000.0,Right,69.92,21,877
80.0,69.0,69.0,70.0,52.0,64.0,67,71,68,A. Esaka,江坂 任,"CAM, ST, CF",71,71,1800000.0,8000.0,30,175,67,K League 1,Ulsan,Japan,4,2300000.0,Right,69.92,21,877
82.0,63.0,66.0,72.0,64.0,62.0,70,63,58,T. Wiesner,Tomáš Wiesner,"RB, RM",71,74,2400000.0,550.0,24,176,72,Fortuna Liga,Sparta Praha,Czech Republic,2,5500000.0,Right,69.92,21,877
71.0,76.0,59.0,72.0,23.0,73.0,51,79,82,H. Diallo,Habibou Mouhamadou Diallo,ST,77,78,12500000.0,30000.0,27,186,79,Ligue 1,Strasbourg,Senegal,3,24700000.0,Right,69.91999999999999,15,878
78.0,70.0,67.0,70.0,50.0,72.0,69,68,54,S. Thioub,Sada Thioub,"RM, LM",71,71,2000000.0,15000.0,27,179,75,Ligue 1,Angers SCO,Senegal,3,4000000.0,Left,69.91999999999999,21,878
86.0,67.0,64.0,68.0,44.0,78.0,66,65,66,Gerson Rodrigues,Gerson Leal Rodrigues Gouveia,"LM, ST",71,71,2000000.0,650.0,27,185,85,Pro League,Al Wahda,Luxembourg,4,3200000.0,Right,69.91999999999999,21,878
67.0,71.0,74.0,74.0,54.0,66.0,74,67,52,J. de Guzmán,Jonathan de Guzmán,"CM, CDM, CAM",71,71,875000.0,8000.0,34,173,70,Eredivisie,Sparta Rotterdam,Netherlands,3,1300000.0,Right,69.91999999999997,21,879
68.0,45.0,69.0,64.0,77.0,76.0,55,39,77,C. Lenglet,Clément Nicolas Laurent Lenglet,CB,78,80,15000000.0,105000.0,27,186,81,Premier League,Tottenham Hotspur,France,2,3200000.0,Left,69.9,14,880
69.0,58.0,66.0,64.0,77.0,74.0,60,46,71,J. Gouweleeuw,Jeffrey Gouweleeuw,CB,75,75,4600000.0,23000.0,30,188,83,Bundesliga,FC Augsburg,Netherlands,2,8300000.0,Right,69.9,17,880
77.0,74.0,54.0,75.0,30.0,75.0,40,77,69,A. Broja,Armando Broja,ST,75,83,12500000.0,64000.0,20,191,75,Premier League,Chelsea,Albania,3,25600000.0,Right,69.9,17,880
65.0,67.0,70.0,68.0,69.0,76.0,64,66,77,J. Irvine,Jackson Alexander Irvine,CM,72,72,2300000.0,15000.0,29,189,70,2. Bundesliga,St. Pauli,Australia,3,3700000.0,Right,69.9,20,880
75.0,70.0,69.0,75.0,43.0,64.0,73,66,48,Ivo Rodrigues,Ivo Tiago dos Santos Rodrigues,"RM, LM, RWB",72,72,2500000.0,8000.0,27,180,75,Liga Portugal,Famalicão,Portugal,4,5300000.0,Right,69.9,20,880
86.0,70.0,67.0,73.0,25.0,68.0,66,69,58,Kim Dae Won,김대원 金大元,"LW, ST, RW",72,75,3100000.0,7000.0,25,171,65,K League 1,Gangwon,Korea Republic,4,4100000.0,Right,69.9,20,880
79.0,56.0,64.0,72.0,67.0,76.0,46,53,57,M. Frendrup,Morten Wetche Frendrup,"CDM, CM",72,81,5000000.0,3000.0,21,178,70,Serie B,Genoa,Denmark,2,9000000.0,Right,69.9,20,880
65.0,56.0,69.0,68.0,76.0,73.0,70,54,73,C. Chambers,Calum Chambers,"CB, RB, CDM",75,76,5500000.0,58000.0,27,182,77,Premier League,Aston Villa,England,2,10900000.0,Right,69.89999999999999,17,881
62.0,58.0,67.0,69.0,74.0,79.0,60,53,65,T. Hamed,Tarek Hamed,"CDM, CM",75,75,2800000.0,32000.0,33,169,67,Pro League,Al Ittihad,Egypt,2,4800000.0,Right,69.89999999999999,17,881
87.0,44.0,66.0,76.0,70.0,49.0,76,47,54,T. Lamptey,Tariq Lamptey,"RWB, RB",75,83,12000000.0,35000.0,21,163,62,Premier League,Brighton & Hove Albion,Ghana,2,25200000.0,Right,69.89999999999999,17,881
70.0,57.0,71.0,74.0,67.0,74.0,73,46,50,M. Trauco,Miguel Ángel Trauco Saavedra,"LB, LM",72,72,2100000.0,6000.0,29,175,62,Major League Soccer,SJ Earthquakes,Peru,3,3000000.0,Left,69.89999999999999,20,881
83.0,68.0,67.0,73.0,54.0,49.0,68,73,50,Josan,José Antonio Ferrández Pomares,"RM, RWB",72,72,1900000.0,14000.0,32,175,68,La Liga,Elche,Spain,4,4200000.0,Right,69.89999999999999,20,881
75.0,68.0,70.0,75.0,47.0,62.0,70,65,47,M. Cafaro,Mathieu Cafaro,"LM, RM, CM",72,75,3100000.0,12000.0,25,178,74,Ligue 2,Saint-Étienne,France,4,3200000.0,Right,69.89999999999999,20,881
79.0,67.0,69.0,76.0,39.0,57.0,68,68,52,N. Kebano,Neeskens Kebano,"LM, LW",73,73,2900000.0,41000.0,30,170,65,Premier League,Fulham,Congo DR,3,5500000.0,Right,69.88000000000001,19,882
40.0,70.0,80.0,72.0,62.0,72.0,75,60,67,J. Shelvey,Jonjo Shelvey,"CM, CDM",76,76,7000000.0,71000.0,30,184,80,Premier League,Newcastle United,England,3,13300000.0,Right,69.88,16,883
61.0,62.0,72.0,71.0,73.0,73.0,75,58,70,André Almeida,André Gomes Magalhães de Almeida,RB,73,73,2200000.0,10000.0,31,186,80,Liga Portugal,Benfica,Portugal,3,4400000.0,Right,69.88,19,883
65.0,61.0,73.0,71.0,68.0,70.0,67,48,64,B. Verstraete,Birger Danny Verstraete,"CDM, CM",73,74,2900000.0,17000.0,28,174,71,Jupiler Pro League,Mechelen,Belgium,3,3200000.0,Right,69.88,19,883
93.0,52.0,58.0,68.0,66.0,70.0,69,48,53,M. van Ewijk,Milan Fabrizio van Ewijk,RWB,73,81,6500000.0,5000.0,21,175,70,Eredivisie,SC Heerenveen,Netherlands,2,11100000.0,Right,69.88,19,883
73.0,66.0,70.0,74.0,62.0,70.0,68,61,53,S. Bastien,Samuel Christopher Bastien,"CM, LM",70,73,2100000.0,22000.0,25,175,75,Championship,Burnley,Congo DR,3,4100000.0,Right,69.88,22,883
68.0,74.0,72.0,70.0,63.0,67.0,70,70,42,Pedro Díaz,Pedro Díaz Fanjul,"CM, CDM",70,77,3200000.0,6000.0,24,180,78,La Liga 2,Sporting Gijón,Spain,3,5800000.0,Right,69.87999999999998,22,884
76.0,52.0,62.0,71.0,71.0,78.0,68,43,69,M. Haïdara,Massadio Haïdara,"LWB, CB",74,74,3700000.0,26000.0,29,179,76,Ligue 1,Lens,Mali,3,7400000.0,Left,69.86000000000001,18,885
68.0,75.0,63.0,73.0,35.0,78.0,54,74,69,F. Niederlechner,Florian Niederlechner,ST,74,74,3600000.0,26000.0,31,187,86,Bundesliga,FC Augsburg,Germany,3,6500000.0,Right,69.86000000000001,18,885
72.0,63.0,71.0,73.0,62.0,71.0,66,63,62,J. Deminguet,Jessy Deminguet,"CM, CDM",71,76,2800000.0,5000.0,24,178,74,Ligue 2,Caen,France,3,5100000.0,Left,69.86000000000001,21,885
82.0,75.0,60.0,71.0,33.0,62.0,62,75,73,B. Dieng,Cheikh Ahmadou Bamba Mbacke Dieng,ST,74,81,8500000.0,30000.0,22,178,72,Ligue 1,Olympique Marseille,Senegal,3,17900000.0,Right,69.86,18,886
72.0,65.0,68.0,69.0,70.0,73.0,63,61,67,André Simões,André Luís Gomes Simões,"CDM, CM",71,71,1200000.0,6000.0,32,177,76,Liga Portugal,Famalicão,Portugal,3,2500000.0,Right,69.86,21,886
85.0,57.0,65.0,72.0,64.0,69.0,70,50,60,Dalbert,Dalbert Henrique Chagas Estevão,"LWB, LM",71,71,1700000.0,31000.0,28,181,70,Serie A,Inter,Brazil,3,2800000.0,Left,69.86,21,886
83.0,69.0,69.0,72.0,58.0,47.0,65,67,52,S. Twine,Scott Edward Twine,"LW, LM, CM",71,78,3800000.0,25000.0,22,174,69,Championship,Burnley,England,3,8000000.0,Right,69.86,21,886
61.0,64.0,73.0,76.0,63.0,60.0,64,62,49,I. Louza,Imrân Louza,"CM, CDM",74,79,6500000.0,32000.0,23,178,65,Championship,Watford,Morocco,4,12800000.0,Left,69.85999999999999,18,887
87.0,71.0,61.0,75.0,23.0,60.0,68,78,55,A. Traoré,Adama Malouda Traoré,"RW, CAM",74,74,4500000.0,1000.0,27,177,74,NB I.,Ferencváros,Mali,3,9900000.0,Left,69.85999999999999,18,887
76.0,59.0,67.0,71.0,67.0,78.0,64,52,63,A. Oğuz,Ahmet Oğuz,"RB, RWB",71,71,1600000.0,11000.0,29,176,83,Super Lig,Konyaspor,Turkey,3,3200000.0,Right,69.85999999999999,21,887
53.0,64.0,68.0,69.0,76.0,80.0,64,55,72,Luiz Gustavo,Luiz Gustavo Dias,"CDM, CM",75,75,1900000.0,32000.0,34,187,78,Pro League,Al Nassr,Brazil,3,3200000.0,Left,69.84,17,888
77.0,74.0,59.0,78.0,24.0,64.0,52,77,73,G. Rutter,Georginio Rutter,ST,75,85,12500000.0,25000.0,20,182,83,Bundesliga,TSG Hoffenheim,France,4,23800000.0,Left,69.84,17,888
70.0,73.0,71.0,72.0,49.0,63.0,72,71,62,Jason,David Jason Remeseiro Salgueiro,RM,72,72,2500000.0,10000.0,27,178,65,La Liga 2,Deportivo Alavés,Spain,3,4000000.0,Right,69.84,20,888
80.0,71.0,64.0,75.0,34.0,70.0,58,73,63,S. Adamyan,Sargis Adamyan,"ST, LM, CAM",72,72,2300000.0,22000.0,29,184,75,Bundesliga,FC Köln,Armenia,4,4100000.0,Right,69.84,20,888
84.0,55.0,64.0,71.0,66.0,70.0,71,57,63,D. Machado,Deiver Andrés Machado Mena,"LWB, LB",72,72,2100000.0,21000.0,28,173,71,Ligue 1,Lens,Colombia,2,4200000.0,Left,69.84,20,888
76.0,69.0,69.0,76.0,42.0,62.0,68,66,40,Rúben Lameiras,Rúben Barcelos De Sousa Lameiras,RW,72,72,2500000.0,9000.0,27,176,67,Liga Portugal,Vitória SC,Portugal,4,5300000.0,Left,69.84,20,888
82.0,71.0,61.0,77.0,33.0,69.0,64,73,58,J. Leweling,Jamie Leweling,"ST, RW",72,81,5500000.0,17000.0,21,184,86,Bundesliga,FC Union Berlin,Germany,3,10500000.0,Right,69.84,20,888
75.0,74.0,70.0,74.0,31.0,67.0,72,70,66,Wilson Eduardo,Wilson Bruno Naval da Costa Eduardo,ST,72,72,2000000.0,17000.0,31,179,77,Super Lig,Alanyaspor,Angola,4,4000000.0,Right,69.83999999999999,20,889
68.0,64.0,70.0,70.0,66.0,74.0,63,61,54,B. Whiteman,Benjamin Whiteman,"CDM, CM",72,75,2800000.0,22000.0,26,185,68,Championship,Preston North End,England,3,5500000.0,Right,69.83999999999999,20,889
81.0,65.0,66.0,75.0,47.0,63.0,68,68,53,Allano,Allano Brendon de Souza Lima,"LM, RM",72,72,2500000.0,6000.0,27,182,74,Liga Portugal,Santa Clara,Brazil,3,5300000.0,Left,69.83999999999999,20,889
60.0,69.0,70.0,70.0,66.0,80.0,65,67,61,A. Zorgane,Adem Zorgane,"CM, CDM",72,78,3700000.0,10000.0,22,184,81,Jupiler Pro League,Sporting Charleroi,Algeria,3,6300000.0,Right,69.83999999999999,20,889
74.0,69.0,68.0,77.0,36.0,65.0,65,67,59,Vako,Valeri Qazaishvili,"LM, CAM, LW",73,73,3000000.0,11000.0,29,174,74,K League 1,Ulsan,Georgia,4,3900000.0,Right,69.82000000000001,19,890
87.0,66.0,64.0,77.0,33.0,56.0,68,70,41,L. Ramazani,Largie Ramazani,"RM, LM, ST",73,81,7000000.0,15000.0,21,167,55,La Liga,Almería,Belgium,3,16800000.0,Right,69.82000000000001,19,890
72.0,57.0,68.0,70.0,70.0,73.0,69,50,58,T. Foket,Thomas Foket,"RB, RWB",73,73,2900000.0,17000.0,27,177,67,Ligue 1,Reims,Belgium,3,5800000.0,Right,69.82,19,891
81.0,69.0,71.0,73.0,29.0,60.0,78,69,56,D. Hotto,Deon Hotto Kavendji,"LW, LM, LWB",73,73,2500000.0,950.0,31,170,65,Premier League,Orlando Pirates,Namibia,3,5500000.0,Left,69.82,19,891
76.0,70.0,71.0,76.0,38.0,53.0,81,65,36,J. Dompé,Jean-Luc Mamadou Diarra Dompé,"LW, LWB",73,73,3300000.0,14000.0,26,170,65,2. Bundesliga,Hamburger SV,France,3,5300000.0,Right,69.82,19,891
58.0,69.0,76.0,66.0,66.0,73.0,70,63,58,J. Mišić,Josip Mišić,"CDM, CM",73,73,2700000.0,800.0,28,184,79,1. HNL,Dinamo Zagreb,Croatia,2,5900000.0,Right,69.82,19,891
76.0,73.0,70.0,74.0,42.0,49.0,70,76,45,Curro Sánchez,Francisco José Sánchez Rodríguez,"RM, CAM, CM",73,73,3300000.0,7000.0,26,173,71,La Liga 2,Burgos,Spain,3,5300000.0,Left,69.82,19,891
82.0,72.0,54.0,70.0,43.0,78.0,39,75,70,C. Tarragona,Cristian Alberto Tarragona,ST,73,73,2600000.0,16000.0,31,176,75,Liga Profesional,Gimnasia La Plata,Argentina,3,3800000.0,Right,69.82,19,891
84.0,56.0,70.0,70.0,64.0,73.0,63,47,65,H. Orzán,Horacio De Dios Orzán,"CM, CDM, CB",70,70,725000.0,550.0,34,177,73,Primera Division,Melgar,Argentina,3,1600000.0,Right,69.82,22,891
